alpha,chi2
1.022222e+00,8.520603e+01
1.022623e+00,8.523988e+01
1.023023e+00,8.527387e+01
1.023423e+00,8.530801e+01
1.023824e+00,8.534230e+01
1.024224e+00,8.537672e+01
1.024625e+00,8.541129e+01
1.025025e+00,8.544600e+01
1.025425e+00,8.548084e+01
1.025826e+00,8.551583e+01
1.026226e+00,8.555094e+01
1.026627e+00,8.558620e+01
1.027027e+00,8.562158e+01
1.027427e+00,8.565710e+01
1.027828e+00,8.569274e+01
1.028228e+00,8.572852e+01
1.028629e+00,8.576442e+01
1.029029e+00,8.580045e+01
1.029429e+00,8.583661e+01
1.029830e+00,8.587289e+01
1.030230e+00,8.590930e+01
1.030631e+00,8.594583e+01
1.031031e+00,8.598248e+01
1.031431e+00,8.601926e+01
1.031832e+00,8.605615e+01
1.032232e+00,8.609316e+01
1.032633e+00,8.613029e+01
1.033033e+00,8.616754e+01
1.033433e+00,8.620490e+01
1.033834e+00,8.624237e+01
1.034234e+00,8.627996e+01
1.034635e+00,8.631766e+01
1.035035e+00,8.635547e+01
1.035435e+00,8.639338e+01
1.035836e+00,8.643141e+01
1.036236e+00,8.646955e+01
1.036637e+00,8.650779e+01
1.037037e+00,8.654613e+01
1.037437e+00,8.658458e+01
1.037838e+00,8.662313e+01
1.038238e+00,8.666179e+01
1.038639e+00,8.670054e+01
1.039039e+00,8.673939e+01
1.039439e+00,8.677835e+01
1.039840e+00,8.681740e+01
1.040240e+00,8.685654e+01
1.040641e+00,8.689578e+01
1.041041e+00,8.693512e+01
1.041441e+00,8.697455e+01
1.041842e+00,8.701407e+01
1.042242e+00,8.705368e+01
1.042643e+00,8.709338e+01
1.043043e+00,8.713317e+01
1.043443e+00,8.717305e+01
1.043844e+00,8.721301e+01
1.044244e+00,8.725307e+01
1.044645e+00,8.729320e+01
1.045045e+00,8.733342e+01
1.045445e+00,8.737373e+01
1.045846e+00,8.741411e+01
1.046246e+00,8.745458e+01
1.046647e+00,8.749513e+01
1.047047e+00,8.753575e+01
1.047447e+00,8.757646e+01
1.047848e+00,8.761724e+01
1.048248e+00,8.765809e+01
1.048649e+00,8.769903e+01
1.049049e+00,8.774003e+01
1.049449e+00,8.778111e+01
1.049850e+00,8.782226e+01
1.050250e+00,8.786348e+01
1.050651e+00,8.790477e+01
1.051051e+00,8.794614e+01
1.051451e+00,8.798757e+01
1.051852e+00,8.802906e+01
1.052252e+00,8.807063e+01
1.052653e+00,8.811226e+01
1.053053e+00,8.815395e+01
1.053453e+00,8.819571e+01
1.053854e+00,8.823753e+01
1.054254e+00,8.827942e+01
1.054655e+00,8.832136e+01
1.055055e+00,8.836337e+01
1.055455e+00,8.840544e+01
1.055856e+00,8.844757e+01
1.056256e+00,8.848976e+01
1.056657e+00,8.853201e+01
1.057057e+00,8.857431e+01
1.057457e+00,8.861668e+01
1.057858e+00,8.865910e+01
1.058258e+00,8.870158e+01
1.058659e+00,8.874411e+01
1.059059e+00,8.878670e+01
1.059459e+00,8.882935e+01
1.059860e+00,8.887204e+01
1.060260e+00,8.891480e+01
1.060661e+00,8.895760e+01
1.061061e+00,8.900046e+01
1.061461e+00,8.904336e+01
1.061862e+00,8.908632e+01
1.062262e+00,8.912933e+01
1.062663e+00,8.917239e+01
1.063063e+00,8.921550e+01
1.063463e+00,8.925865e+01
1.063864e+00,8.930185e+01
1.064264e+00,8.934510e+01
1.064665e+00,8.938840e+01
1.065065e+00,8.943174e+01
1.065465e+00,8.947513e+01
1.065866e+00,8.951856e+01
1.066266e+00,8.956203e+01
1.066667e+00,8.960555e+01
1.067067e+00,8.964911e+01
1.067467e+00,8.969271e+01
1.067868e+00,8.973635e+01
1.068268e+00,8.978003e+01
1.068669e+00,8.982374e+01
1.069069e+00,8.986750e+01
1.069469e+00,8.991129e+01
1.069870e+00,8.995512e+01
1.070270e+00,8.999899e+01
1.070671e+00,9.004289e+01
1.071071e+00,9.008683e+01
1.071471e+00,9.013079e+01
1.071872e+00,9.017480e+01
1.072272e+00,9.021883e+01
1.072673e+00,9.026289e+01
1.073073e+00,9.030698e+01
1.073473e+00,9.035110e+01
1.073874e+00,9.039525e+01
1.074274e+00,9.043943e+01
1.074675e+00,9.048363e+01
1.075075e+00,9.052786e+01
1.075475e+00,9.057212e+01
1.075876e+00,9.061640e+01
1.076276e+00,9.066070e+01
1.076677e+00,9.070502e+01
1.077077e+00,9.074936e+01
1.077477e+00,9.079373e+01
1.077878e+00,9.083811e+01
1.078278e+00,9.088251e+01
1.078679e+00,9.092693e+01
1.079079e+00,9.097137e+01
1.079479e+00,9.101583e+01
1.079880e+00,9.106030e+01
1.080280e+00,9.110478e+01
1.080681e+00,9.114928e+01
1.081081e+00,9.119379e+01
1.081481e+00,9.123832e+01
1.081882e+00,9.128285e+01
1.082282e+00,9.132740e+01
1.082683e+00,9.137196e+01
1.083083e+00,9.141653e+01
1.083483e+00,9.146111e+01
1.083884e+00,9.150570e+01
1.084284e+00,9.155030e+01
1.084685e+00,9.159490e+01
1.085085e+00,9.163951e+01
1.085485e+00,9.168413e+01
1.085886e+00,9.172875e+01
1.086286e+00,9.177338e+01
1.086687e+00,9.181801e+01
1.087087e+00,9.186265e+01
1.087487e+00,9.190728e+01
1.087888e+00,9.195192e+01
1.088288e+00,9.199656e+01
1.088689e+00,9.204121e+01
1.089089e+00,9.208585e+01
1.089489e+00,9.213049e+01
1.089890e+00,9.217513e+01
1.090290e+00,9.221976e+01
1.090691e+00,9.226439e+01
1.091091e+00,9.230902e+01
1.091491e+00,9.235365e+01
1.091892e+00,9.239827e+01
1.092292e+00,9.244288e+01
1.092693e+00,9.248749e+01
1.093093e+00,9.253209e+01
